Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,User_Score,,Year_of_Release,User_Score,Global_Sales,Name,Platform,User_Score
Frogger 3D,3DS,2011,Action,Konami Digital Entertainment,0.21,5.5,,2011,5.5,0.21,Frogger 3D,3DS,5.5
Blue Dragon Plus,DS,2008,Role-Playing,Ignition Entertainment,0.21,6.5,,2008,6.5,0.21,Blue Dragon Plus,DS,6.5
BeyBlade VForce: Super Tournament Battle,GC,2002,Action,Atari,0.21,7.5,,2002,7.5,0.21,BeyBlade VForce: Super Tournament Battle,GC,7.5
Dead to Rights: Retribution,X360,2010,Shooter,Namco Bandai Games,0.21,7,,2010,7,0.21,Dead to Rights: Retribution,X360,7
Dragon Ball Z: Sagas,GC,2005,Fighting,Atari,0.21,6.6,,2005,6.6,0.21,Dragon Ball Z: Sagas,GC,6.6
X2: Wolverine's Revenge,XB,2003,Platform,Activision,0.21,6.4,,2003,6.4,0.21,X2: Wolverine's Revenge,XB,6.4
Power Rangers: Wild Force,GBA,2002,Action,THQ,0.21,6.9,,2002,6.9,0.21,Power Rangers: Wild Force,GBA,6.9
Tenchu: Shadow Assassins,Wii,2008,Action,Ubisoft,0.21,7.8,,2008,7.8,0.21,Tenchu: Shadow Assassins,Wii,7.8
Lost Planet 3,PS3,2013,Shooter,Capcom,0.21,5.5,,2013,5.5,0.21,Lost Planet 3,PS3,5.5
Beyblade G-Revolution,GBA,2004,Action,Atari,0.2,7.8,,2004,7.8,0.2,Beyblade G-Revolution,GBA,7.8
Capcom Fighting Evolution,PS2,2004,Fighting,Capcom,0.2,4.8,,2004,4.8,0.2,Capcom Fighting Evolution,PS2,4.8
Assassin's Creed The Ezio Collection,PS4,2016,Action,Ubisoft,0.2,7.4,,2016,7.4,0.2,Assassin's Creed The Ezio Collection,PS4,7.4
God of War Collection,PSV,2014,Action,Sony Computer Entertainment,0.2,7.4,,2014,7.4,0.2,God of War Collection,PSV,7.4
Anarchy Reigns,PS3,2012,Action,Sega,0.2,8.2,,2012,8.2,0.2,Anarchy Reigns,PS3,8.2
Mobile Suit Gundam: Crossfire,PS3,2006,Simulation,Namco Bandai Games,0.2,5.1,,2006,5.1,0.2,Mobile Suit Gundam: Crossfire,PS3,5.1
Suikoden Tactics,PS2,2005,Strategy,Konami Digital Entertainment,0.2,8.6,,2005,8.6,0.2,Suikoden Tactics,PS2,8.6
NCAA March Madness 06,XB,2005,Sports,Electronic Arts,0.2,7.2,,2005,7.2,0.2,NCAA March Madness 06,XB,7.2
Sniper: Ghost Warrior 2,X360,2013,Shooter,City Interactive,0.2,5.7,,2013,5.7,0.2,Sniper: Ghost Warrior 2,X360,5.7
EVE Online,PC,2003,Role-Playing,CCP,0.2,7.5,,2003,7.5,0.2,EVE Online,PC,7.5
Phantasy Star Online,DC,2000,Role-Playing,Sega,0.2,9.1,,2000,9.1,0.2,Phantasy Star Online,DC,9.1
Crazy Taxi 3: High Roller,XB,2002,Racing,Sega,0.2,8.5,,2002,8.5,0.2,Crazy Taxi 3: High Roller,XB,8.5
Midnight Club 3: DUB Edition Remix,XB,2006,Racing,Take-Two Interactive,0.2,5.3,,2006,5.3,0.2,Midnight Club 3: DUB Edition Remix,XB,5.3
The Bible Game,PS2,2005,Misc,Crave Entertainment,0.2,5.4,,2005,5.4,0.2,The Bible Game,PS2,5.4
Thrillville,PSP,2006,Strategy,Atari,0.2,2.8,,2006,2.8,0.2,Thrillville,PSP,2.8
"Warhammer 40,000: Space Marine",PC,2011,Shooter,THQ,0.2,7.4,,2011,7.4,0.2,"Warhammer 40,000: Space Marine",PC,7.4
The King of Fighters Collection: The Orochi Saga,PS2,2006,Fighting,Ignition Entertainment,0.2,8.5,,2006,8.5,0.2,The King of Fighters Collection: The Orochi Saga,PS2,8.5
Disney's Planes,WiiU,2013,Simulation,Disney Interactive Studios,0.2,5.3,,2013,5.3,0.2,Disney's Planes,WiiU,5.3
Saturday Night Speedway,PS2,2004,Racing,Play It,0.2,8.7,,2004,8.7,0.2,Saturday Night Speedway,PS2,8.7
Zombie Army Trilogy,PS4,2015,Shooter,Rebellion Developments,0.2,6.8,,2015,6.8,0.2,Zombie Army Trilogy,PS4,6.8
MLB SlugFest 20-03,XB,2002,Sports,Midway Games,0.2,7.8,,2002,7.8,0.2,MLB SlugFest 20-03,XB,7.8
The Con,PSP,2005,Fighting,Sony Computer Entertainment,0.2,7.3,,2005,7.3,0.2,The Con,PSP,7.3
Pitfall: The Lost Expedition,PS2,2004,Platform,Activision,0.2,8.9,,2004,8.9,0.2,Pitfall: The Lost Expedition,PS2,8.9
Need for Speed Carbon: Own the City,DS,2006,Racing,Electronic Arts,0.2,7.5,,2006,7.5,0.2,Need for Speed Carbon: Own the City,DS,7.5
Enchanted Arms,PS3,2007,Role-Playing,Ubisoft,0.2,5.9,,2007,5.9,0.2,Enchanted Arms,PS3,5.9
Le Mans 24 Hours,PS2,2001,Racing,Infogrames,0.2,7.6,,2001,7.6,0.2,Le Mans 24 Hours,PS2,7.6
The Witch and the Hundred Knight,PS3,2013,Role-Playing,Nippon Ichi Software,0.2,7.5,,2013,7.5,0.2,The Witch and the Hundred Knight,PS3,7.5
Dragon Ball Z: Harukanaru Densetsu,DS,2007,Role-Playing,Namco Bandai Games,0.2,6.2,,2007,6.2,0.2,Dragon Ball Z: Harukanaru Densetsu,DS,6.2
Harvest Moon: More Friends of Mineral Town,GBA,2003,Simulation,Ubisoft,0.2,9.2,,2003,9.2,0.2,Harvest Moon: More Friends of Mineral Town,GBA,9.2
X2: Wolverine's Revenge,GBA,2003,Platform,Activision,0.2,7.2,,2003,7.2,0.2,X2: Wolverine's Revenge,GBA,7.2
NBA 2K2,XB,2002,Sports,Sega,0.2,7.6,,2002,7.6,0.2,NBA 2K2,XB,7.6
Code of Princess,3DS,2012,Action,Agatsuma Entertainment,0.2,7.6,,2012,7.6,0.2,Code of Princess,3DS,7.6
Major League Baseball 2K11,PS3,2011,Sports,Take-Two Interactive,0.2,6.3,,2011,6.3,0.2,Major League Baseball 2K11,PS3,6.3
Dark Messiah of Might and Magic Elements,X360,2008,Role-Playing,Ubisoft,0.2,7,,2008,7,0.2,Dark Messiah of Might and Magic Elements,X360,7
Planet 51,Wii,2009,Action,Sega,0.2,5.8,,2009,5.8,0.2,Planet 51,Wii,5.8
Dead to Rights II,PS2,2005,Shooter,Electronic Arts,0.2,5.3,,2005,5.3,0.2,Dead to Rights II,PS2,5.3
FIFA 16,PC,2015,Sports,Electronic Arts,0.2,4.4,,2015,4.4,0.2,FIFA 16,PC,4.4
Teenage Mutant Ninja Turtles: Danger of the Ooze,X360,2014,Adventure,Activision,0.2,6.4,,2014,6.4,0.2,Teenage Mutant Ninja Turtles: Danger of the Ooze,X360,6.4
NBA Live 14,XOne,2013,Sports,Electronic Arts,0.2,3.1,,2013,3.1,0.2,NBA Live 14,XOne,3.1
Kung Fu Rider,PS3,2010,Action,Sony Computer Entertainment,0.2,3.7,,2010,3.7,0.2,Kung Fu Rider,PS3,3.7
DarkStar One: Broken Alliance,X360,2010,Simulation,Kalypso Media,0.2,7.2,,2010,7.2,0.2,DarkStar One: Broken Alliance,X360,7.2
Dragon Ball: Xenoverse 2,XOne,2016,Action,Namco Bandai Games,0.2,7.3,,2016,7.3,0.2,Dragon Ball: Xenoverse 2,XOne,7.3
Odin Sphere: Leifthrasir,PS4,2016,Role-Playing,Nippon Ichi Software,0.2,8.2,,2016,8.2,0.2,Odin Sphere: Leifthrasir,PS4,8.2
Ty the Tasmanian Tiger 2: Bush Rescue,GC,2004,Platform,Electronic Arts,0.2,8.6,,2004,8.6,0.2,Ty the Tasmanian Tiger 2: Bush Rescue,GC,8.6
Body and Brain Connection,X360,2010,Misc,Namco Bandai Games,0.2,4.8,,2010,4.8,0.2,Body and Brain Connection,X360,4.8
Dragon Ball: Revenge of King Piccolo,Wii,2009,Action,Namco Bandai Games,0.2,7.3,,2009,7.3,0.2,Dragon Ball: Revenge of King Piccolo,Wii,7.3
Warriors Orochi,PSP,2008,Action,Tecmo Koei,0.2,6.6,,2008,6.6,0.2,Warriors Orochi,PSP,6.6
MVP Baseball 2003,XB,2003,Sports,Electronic Arts,0.2,9,,2003,9,0.2,MVP Baseball 2003,XB,9
Monster Jam,X360,2007,Racing,Activision,0.2,6.4,,2007,6.4,0.2,Monster Jam,X360,6.4
Infinite Space,DS,2009,Role-Playing,Sega,0.2,9,,2009,9,0.2,Infinite Space,DS,9
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",XB,2005,Action,Disney Interactive Studios,0.2,6,,2005,6,0.2,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",XB,6
NBA 07,PSP,2006,Sports,Sony Computer Entertainment,0.2,7,,2006,7,0.2,NBA 07,PSP,7
Two Worlds II,PC,2011,Role-Playing,Unknown,0.2,6.5,,2011,6.5,0.2,Two Worlds II,PC,6.5
IHRA Drag Racing 2004,XB,2003,Racing,Bethesda Softworks,0.2,7.4,,2003,7.4,0.2,IHRA Drag Racing 2004,XB,7.4
The Legend of Heroes: Trails of Cold Steel,PS3,2013,Role-Playing,Nippon Ichi Software,0.2,7.7,,2013,7.7,0.2,The Legend of Heroes: Trails of Cold Steel,PS3,7.7
Clive Barker's Jericho,PS3,2007,Shooter,Codemasters,0.2,7.1,,2007,7.1,0.2,Clive Barker's Jericho,PS3,7.1
Tekken 3D: Prime Edition,3DS,2012,Fighting,Nintendo,0.2,5.9,,2012,5.9,0.2,Tekken 3D: Prime Edition,3DS,5.9
Marvel: Ultimate Alliance 2,DS,2009,Role-Playing,Activision,0.2,6.7,,2009,6.7,0.2,Marvel: Ultimate Alliance 2,DS,6.7
Front Mission Evolved,X360,2010,Shooter,Square Enix,0.2,6.1,,2010,6.1,0.2,Front Mission Evolved,X360,6.1
From Russia With Love,XB,2005,Action,Electronic Arts,0.2,8.8,,2005,8.8,0.2,From Russia With Love,XB,8.8
Apache: Air Assault,PS3,2010,Simulation,Activision,0.2,6.1,,2010,6.1,0.2,Apache: Air Assault,PS3,6.1
Dying Light,PC,2015,Action,Warner Bros. Interactive Entertainment,0.2,7.9,,2015,7.9,0.2,Dying Light,PC,7.9
Grandia II,DC,2000,Role-Playing,Ubisoft,0.2,8.8,,2000,8.8,0.2,Grandia II,DC,8.8
Ridge Racer 6,X360,2005,Racing,Namco Bandai Games,0.2,7.1,,2005,7.1,0.2,Ridge Racer 6,X360,7.1
My Secret World by Imagine,DS,2008,Misc,Ubisoft,0.2,8.8,,2008,8.8,0.2,My Secret World by Imagine,DS,8.8
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,PS2,2005,Action,Konami Digital Entertainment,0.2,7,,2005,7,0.2,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,PS2,7
Zone of the Enders HD Collection,X360,2012,Simulation,Konami Digital Entertainment,0.2,8.8,,2012,8.8,0.2,Zone of the Enders HD Collection,X360,8.8
Record of Agarest War,X360,2008,Role-Playing,Compile Heart,0.2,7,,2008,7,0.2,Record of Agarest War,X360,7
Gladius,PS2,2003,Strategy,Activision,0.2,8,,2003,8,0.2,Gladius,PS2,8
Earth Defense Force: Insect Armageddon,PS3,2011,Shooter,D3Publisher,0.2,7,,2011,7,0.2,Earth Defense Force: Insect Armageddon,PS3,7
Dave Mirra Freestyle BMX 2,XB,2001,Sports,Acclaim Entertainment,0.2,8.2,,2001,8.2,0.2,Dave Mirra Freestyle BMX 2,XB,8.2
SpongeBob SquarePants: Revenge of the Flying Dutchman,GC,2002,Platform,THQ,0.2,8.3,,2002,8.3,0.2,SpongeBob SquarePants: Revenge of the Flying Dutchman,GC,8.3
Taiko Drum Master,PS2,2004,Misc,Namco Bandai Games,0.2,8.1,,2004,8.1,0.2,Taiko Drum Master,PS2,8.1
Dungeon Hunter Alliance,PSV,2012,Action,Ubisoft,0.2,6.4,,2012,6.4,0.2,Dungeon Hunter Alliance,PSV,6.4
Forgotten Realms: Demon Stone,PS2,2004,Action,Atari,0.2,6.8,,2004,6.8,0.2,Forgotten Realms: Demon Stone,PS2,6.8
Soldier of Fortune: Payback,X360,2007,Shooter,Activision,0.2,5.6,,2007,5.6,0.2,Soldier of Fortune: Payback,X360,5.6
Afro Samurai,PS3,2009,Action,Atari,0.2,6.1,,2009,6.1,0.2,Afro Samurai,PS3,6.1
Silent Hill: Book of Memories,PSV,2012,Action,Konami Digital Entertainment,0.2,5.1,,2012,5.1,0.2,Silent Hill: Book of Memories,PSV,5.1
Playboy: The Mansion,PS2,2005,Simulation,Ubisoft,0.2,7.5,,2005,7.5,0.2,Playboy: The Mansion,PS2,7.5
Baja: Edge of Control,X360,2008,Racing,THQ,0.2,7.1,,2008,7.1,0.2,Baja: Edge of Control,X360,7.1
Tiger Woods PGA Tour 06,PSP,2005,Sports,Electronic Arts,0.2,7.9,,2005,7.9,0.2,Tiger Woods PGA Tour 06,PSP,7.9
Bleach: The 3rd Phantom,DS,2008,Role-Playing,Sega,0.2,8,,2008,8,0.2,Bleach: The 3rd Phantom,DS,8
MC Groovz Dance Craze,GC,2004,Misc,Mad Catz,0.2,6.8,,2004,6.8,0.2,MC Groovz Dance Craze,GC,6.8
The Thing,XB,2002,Adventure,Vivendi Games,0.2,6.6,,2002,6.6,0.2,The Thing,XB,6.6
Untold Legends: Dark Kingdom,PS3,2006,Role-Playing,Electronic Arts,0.2,7.2,,2006,7.2,0.2,Untold Legends: Dark Kingdom,PS3,7.2
Plants vs. Zombies,PS3,2011,Strategy,PopCap Games,0.2,7.9,,2011,7.9,0.2,Plants vs. Zombies,PS3,7.9
Baldur's Gate: Dark Alliance,XB,2002,Role-Playing,Virgin Interactive,0.2,8.3,,2002,8.3,0.2,Baldur's Gate: Dark Alliance,XB,8.3
Prince of Persia: Warrior Within,GC,2004,Action,Ubisoft,0.2,8.6,,2004,8.6,0.2,Prince of Persia: Warrior Within,GC,8.6
Warriors Orochi,X360,2007,Action,Tecmo Koei,0.2,7.4,,2007,7.4,0.2,Warriors Orochi,X360,7.4
Predator: Concrete Jungle,PS2,2005,Action,Vivendi Games,0.2,8.8,,2005,8.8,0.2,Predator: Concrete Jungle,PS2,8.8
Cabela's Survival: Shadows of Katmai,Wii,2011,Sports,Activision,0.2,8,,2011,8,0.2,Cabela's Survival: Shadows of Katmai,Wii,8
Arcana Heart 3,PS3,2011,Fighting,PQube,0.2,7.5,,2011,7.5,0.2,Arcana Heart 3,PS3,7.5
X-Men Origins: Wolverine,DS,2009,Action,Activision,0.2,8.1,,2009,8.1,0.2,X-Men Origins: Wolverine,DS,8.1
Big Mutha Truckers 2,PS2,2005,Racing,Xplosiv,0.2,2.1,,2005,2.1,0.2,Big Mutha Truckers 2,PS2,2.1
Armored Core 4,PS3,2006,Simulation,505 Games,0.2,6.8,,2006,6.8,0.2,Armored Core 4,PS3,6.8
Solatorobo: Red the Hunter,DS,2010,Role-Playing,Nintendo,0.2,7.9,,2010,7.9,0.2,Solatorobo: Red the Hunter,DS,7.9
NHL FaceOff 2001,PS2,2001,Sports,Sony Computer Entertainment,0.2,4,,2001,4,0.2,NHL FaceOff 2001,PS2,4
Mana Khemia 2: Fall of Alchemy,PS2,2008,Role-Playing,Gust,0.2,8.2,,2008,8.2,0.2,Mana Khemia 2: Fall of Alchemy,PS2,8.2
The Great Escape,PS2,2003,Action,SCi,0.2,8,,2003,8,0.2,The Great Escape,PS2,8
Castlevania: Lords of Shadow 2,PS3,2014,Action,Konami Digital Entertainment,0.2,7.8,,2014,7.8,0.2,Castlevania: Lords of Shadow 2,PS3,7.8
Big Mutha Truckers,XB,2002,Racing,Empire Interactive,0.19,4.3,,2002,4.3,0.19,Big Mutha Truckers,XB,4.3
Way of the Samurai 4,PS3,2011,Action,Nippon Ichi Software,0.19,6.5,,2011,6.5,0.19,Way of the Samurai 4,PS3,6.5
The Hobbit,GBA,2003,Platform,Vivendi Games,0.19,9.2,,2003,9.2,0.19,The Hobbit,GBA,9.2
The King of Fighters XI,PS2,2006,Fighting,Ignition Entertainment,0.19,8.5,,2006,8.5,0.19,The King of Fighters XI,PS2,8.5
Tom Clancy's Splinter Cell: Essentials,PSP,2006,Shooter,Ubisoft,0.19,7.5,,2006,7.5,0.19,Tom Clancy's Splinter Cell: Essentials,PSP,7.5
Major League Baseball 2K12,PS3,2012,Sports,Take-Two Interactive,0.19,4.4,,2012,4.4,0.19,Major League Baseball 2K12,PS3,4.4
Family Guy,PSP,2006,Action,Take-Two Interactive,0.19,6.3,,2006,6.3,0.19,Family Guy,PSP,6.3
Sniper Elite,PS2,2005,Shooter,Ubisoft,0.19,8.9,,2005,8.9,0.19,Sniper Elite,PS2,8.9
Harry Potter and the Goblet of Fire,PSP,2005,Action,Electronic Arts,0.19,7.4,,2005,7.4,0.19,Harry Potter and the Goblet of Fire,PSP,7.4
Breath of Fire II,GBA,2001,Role-Playing,Ubisoft,0.19,8.8,,2001,8.8,0.19,Breath of Fire II,GBA,8.8
UFC Personal Trainer: The Ultimate Fitness System,PS3,2011,Sports,THQ,0.19,2.4,,2011,2.4,0.19,UFC Personal Trainer: The Ultimate Fitness System,PS3,2.4
Conan,X360,2007,Action,THQ,0.19,7.3,,2007,7.3,0.19,Conan,X360,7.3
Rune Factory: Tides of Destiny,Wii,2011,Role-Playing,Marvelous Interactive,0.19,7,,2011,7,0.19,Rune Factory: Tides of Destiny,Wii,7
No More Heroes: Heroes' Paradise,PS3,2010,Action,Konami Digital Entertainment,0.19,7.3,,2010,7.3,0.19,No More Heroes: Heroes' Paradise,PS3,7.3
Aliens vs Predator,PC,2010,Shooter,Sega,0.19,7.4,,2010,7.4,0.19,Aliens vs Predator,PC,7.4
Captain America: Super Soldier,PS3,2011,Action,Sega,0.19,7.3,,2011,7.3,0.19,Captain America: Super Soldier,PS3,7.3
Manhunt,XB,2004,Action,Take-Two Interactive,0.19,7.9,,2004,7.9,0.19,Manhunt,XB,7.9
NCAA Final Four 2003,PS2,2002,Sports,Sony Computer Entertainment,0.19,6,,2002,6,0.19,NCAA Final Four 2003,PS2,6
Dynasty Warriors: Gundam 2,X360,2008,Action,Namco Bandai Games,0.19,7,,2008,7,0.19,Dynasty Warriors: Gundam 2,X360,7
Bound By Flame,PS4,2014,Role-Playing,Focus Home Interactive,0.19,5.9,,2014,5.9,0.19,Bound By Flame,PS4,5.9
Spectrobes: Origins,Wii,2009,Role-Playing,Disney Interactive Studios,0.19,8.4,,2009,8.4,0.19,Spectrobes: Origins,Wii,8.4
DanceMasters,X360,2010,Misc,Konami Digital Entertainment,0.19,5.9,,2010,5.9,0.19,DanceMasters,X360,5.9
Breath of Fire: Dragon Quarter,PS2,2002,Role-Playing,Capcom,0.19,6.9,,2002,6.9,0.19,Breath of Fire: Dragon Quarter,PS2,6.9
Shiren the Wanderer,Wii,2008,Role-Playing,Sega,0.19,7.6,,2008,7.6,0.19,Shiren the Wanderer,Wii,7.6
LEGO Marvel's Avengers,3DS,2016,Action,Warner Bros. Interactive Entertainment,0.19,7.1,,2016,7.1,0.19,LEGO Marvel's Avengers,3DS,7.1
Just Dance 2016,PS3,2015,Misc,Ubisoft,0.19,4.2,,2015,4.2,0.19,Just Dance 2016,PS3,4.2
Spore Hero Arena,DS,2009,Simulation,Electronic Arts,0.19,2.6,,2009,2.6,0.19,Spore Hero Arena,DS,2.6
Disney's Magical Mirror Starring Mickey Mouse,GC,2002,Adventure,Nintendo,0.19,8.9,,2002,8.9,0.19,Disney's Magical Mirror Starring Mickey Mouse,GC,8.9
Enchanted Arms,X360,2006,Role-Playing,Ubisoft,0.19,6.9,,2006,6.9,0.19,Enchanted Arms,X360,6.9
Conflict: Denied Ops,X360,2008,Shooter,Eidos Interactive,0.19,4.9,,2008,4.9,0.19,Conflict: Denied Ops,X360,4.9
Mafia III,PC,2016,Action,Take-Two Interactive,0.19,3.2,,2016,3.2,0.19,Mafia III,PC,3.2
Mace Griffin: Bounty Hunter,PS2,2003,Shooter,Electronic Arts,0.19,8.3,,2003,8.3,0.19,Mace Griffin: Bounty Hunter,PS2,8.3
Legacy of Kain: Defiance,XB,2003,Action,Eidos Interactive,0.19,7.9,,2003,7.9,0.19,Legacy of Kain: Defiance,XB,7.9
Final Fantasy XI,X360,2006,Role-Playing,Square Enix,0.19,6.5,,2006,6.5,0.19,Final Fantasy XI,X360,6.5
Peter Jackson's King Kong: The Official Game of the Movie,PSP,2005,Action,Ubisoft,0.19,6.4,,2005,6.4,0.19,Peter Jackson's King Kong: The Official Game of the Movie,PSP,6.4
Fighter Within,XOne,2013,Fighting,Ubisoft,0.19,3,,2013,3,0.19,Fighter Within,XOne,3
Aliens versus Predator: Extinction,PS2,2003,Strategy,Electronic Arts,0.19,8.4,,2003,8.4,0.19,Aliens versus Predator: Extinction,PS2,8.4
Shrek: Forever After,PS3,2010,Platform,Activision,0.19,4.5,,2010,4.5,0.19,Shrek: Forever After,PS3,4.5
X-Men Origins: Wolverine,PSP,2009,Action,Activision,0.19,7.5,,2009,7.5,0.19,X-Men Origins: Wolverine,PSP,7.5
NHL Hitz Pro,PS2,2003,Sports,Midway Games,0.19,8.9,,2003,8.9,0.19,NHL Hitz Pro,PS2,8.9
Space Invaders Extreme 2,DS,2009,Shooter,Square Enix,0.19,7.1,,2009,7.1,0.19,Space Invaders Extreme 2,DS,7.1
Need for Speed: The Run,3DS,2011,Action,Electronic Arts,0.19,6,,2011,6,0.19,Need for Speed: The Run,3DS,6
Supreme Commander 2,PC,2010,Strategy,Square Enix,0.19,6.2,,2010,6.2,0.19,Supreme Commander 2,PC,6.2
Quantum Theory,PS3,2010,Shooter,Tecmo Koei,0.19,5.3,,2010,5.3,0.19,Quantum Theory,PS3,5.3
Dawn of Discovery,Wii,2009,Simulation,Ubisoft,0.19,8.5,,2009,8.5,0.19,Dawn of Discovery,Wii,8.5
Guitar Hero Live,WiiU,2015,Misc,Activision,0.19,6.1,,2015,6.1,0.19,Guitar Hero Live,WiiU,6.1
Frequency,PS2,2001,Misc,Sony Computer Entertainment,0.19,9,,2001,9,0.19,Frequency,PS2,9
Dynasty Warriors 8: Empires,PS4,2014,Action,Tecmo Koei,0.19,7.5,,2014,7.5,0.19,Dynasty Warriors 8: Empires,PS4,7.5
2002 FIFA World Cup,XB,2002,Sports,Electronic Arts,0.19,9,,2002,9,0.19,2002 FIFA World Cup,XB,9
SpongeBob SquigglePants 3D,3DS,2011,Misc,THQ,0.19,6,,2011,6,0.19,SpongeBob SquigglePants 3D,3DS,6
Sudeki,XB,2004,Role-Playing,Microsoft Game Studios,0.19,8.4,,2004,8.4,0.19,Sudeki,XB,8.4
Majin and the Forsaken Kingdom,X360,2010,Adventure,Namco Bandai Games,0.19,8.1,,2010,8.1,0.19,Majin and the Forsaken Kingdom,X360,8.1
Silent Hill HD Collection,X360,2012,Action,Konami Digital Entertainment,0.19,5.6,,2012,5.6,0.19,Silent Hill HD Collection,X360,5.6
Arc Rise Fantasia,Wii,2009,Role-Playing,Marvelous Interactive,0.19,7.8,,2009,7.8,0.19,Arc Rise Fantasia,Wii,7.8
South Park: The Stick of Truth,PC,2014,Role-Playing,Ubisoft,0.19,8.6,,2014,8.6,0.19,South Park: The Stick of Truth,PC,8.6
Teenage Mutant Ninja Turtles 2: Battle Nexus,GC,2004,Action,Konami Digital Entertainment,0.19,4.6,,2004,4.6,0.19,Teenage Mutant Ninja Turtles 2: Battle Nexus,GC,4.6
MLB 12: The Show,PSV,2012,Sports,Sony Computer Entertainment,0.19,7.8,,2012,7.8,0.19,MLB 12: The Show,PSV,7.8
God Eater Resurrection,PSV,2015,Action,Namco Bandai Games,0.19,8.8,,2015,8.8,0.19,God Eater Resurrection,PSV,8.8
NBA 2K11,PC,2010,Action,Take-Two Interactive,0.19,8.6,,2010,8.6,0.19,NBA 2K11,PC,8.6
WWE All Stars,Wii,2011,Fighting,THQ,0.19,7,,2011,7,0.19,WWE All Stars,Wii,7
Naruto: Ninja Destiny,DS,2006,Fighting,Namco Bandai Games,0.19,4.4,,2006,4.4,0.19,Naruto: Ninja Destiny,DS,4.4
FaceBreaker,X360,2008,Fighting,Electronic Arts,0.19,6.3,,2008,6.3,0.19,FaceBreaker,X360,6.3
Spider-Man: Shattered Dimensions,DS,2010,Action,Activision,0.19,7,,2010,7,0.19,Spider-Man: Shattered Dimensions,DS,7
Lunar Legend,GBA,2002,Role-Playing,Media Rings,0.19,7.8,,2002,7.8,0.19,Lunar Legend,GBA,7.8
Conflict: Global Terror,PS2,2005,Shooter,Eidos Interactive,0.19,8.5,,2005,8.5,0.19,Conflict: Global Terror,PS2,8.5
Dante's Inferno,PSP,2010,Action,Electronic Arts,0.19,8.1,,2010,8.1,0.19,Dante's Inferno,PSP,8.1
Injustice: Gods Among Us,WiiU,2013,Fighting,Warner Bros. Interactive Entertainment,0.19,7.9,,2013,7.9,0.19,Injustice: Gods Among Us,WiiU,7.9
Tomb Raider: Underworld,DS,2008,Action,Eidos Interactive,0.19,8.4,,2008,8.4,0.19,Tomb Raider: Underworld,DS,8.4
Death Jr.,PSP,2005,Platform,Konami Digital Entertainment,0.19,7.3,,2005,7.3,0.19,Death Jr.,PSP,7.3
Hulk,GC,2003,Action,Universal Interactive,0.19,7.4,,2003,7.4,0.19,Hulk,GC,7.4
Phantasy Star Universe,PS2,2006,Role-Playing,Sega,0.19,8.5,,2006,8.5,0.19,Phantasy Star Universe,PS2,8.5
Gungrave,PS2,2002,Shooter,Activision,0.19,8.6,,2002,8.6,0.19,Gungrave,PS2,8.6
Transworld Surf,PS2,2002,Sports,Atari,0.19,8.5,,2002,8.5,0.19,Transworld Surf,PS2,8.5
Tenchu: Fatal Shadows,PS2,2004,Action,Sega,0.19,8,,2004,8,0.19,Tenchu: Fatal Shadows,PS2,8
50 Cent: Blood on the Sand,PS3,2009,Shooter,THQ,0.19,7.2,,2009,7.2,0.19,50 Cent: Blood on the Sand,PS3,7.2
Metro: Last Light,PC,2013,Action,Deep Silver,0.19,8.6,,2013,8.6,0.19,Metro: Last Light,PC,8.6
Evolve,PC,2015,Shooter,Take-Two Interactive,0.19,4.3,,2015,4.3,0.19,Evolve,PC,4.3
FIFA 14,PSP,2013,Sports,Electronic Arts,0.19,3.4,,2013,3.4,0.19,FIFA 14,PSP,3.4
Resident Evil: Revelations,WiiU,2013,Action,Capcom,0.19,7.5,,2013,7.5,0.19,Resident Evil: Revelations,WiiU,7.5
The Legend of Spyro: A New Beginning,GC,2006,Platform,Vivendi Games,0.19,7.3,,2006,7.3,0.19,The Legend of Spyro: A New Beginning,GC,7.3
Armored Core: For Answer,PS3,2008,Simulation,Ubisoft,0.19,7.6,,2008,7.6,0.19,Armored Core: For Answer,PS3,7.6
Harry Potter and the Prisoner of Azkaban,XB,2004,Action,Electronic Arts,0.19,8.8,,2004,8.8,0.19,Harry Potter and the Prisoner of Azkaban,XB,8.8
Street Fighter X Tekken,PSV,2012,Fighting,Capcom,0.19,7.5,,2012,7.5,0.19,Street Fighter X Tekken,PSV,7.5
The Legend of Heroes: Trails of Cold Steel II,PSV,2014,Role-Playing,Nippon Ichi Software,0.19,7.3,,2014,7.3,0.19,The Legend of Heroes: Trails of Cold Steel II,PSV,7.3
Rise of the Kasai,PS2,2005,Action,Sony Computer Entertainment,0.19,8,,2005,8,0.19,Rise of the Kasai,PS2,8
Singstar: Ultimate Party,PS4,2014,Misc,Sony Computer Entertainment Europe,0.19,4.1,,2014,4.1,0.19,Singstar: Ultimate Party,PS4,4.1
Risen,X360,2009,Role-Playing,Deep Silver,0.19,6.4,,2009,6.4,0.19,Risen,X360,6.4
Nostalgia,DS,2008,Role-Playing,Tecmo Koei,0.19,7.6,,2008,7.6,0.19,Nostalgia,DS,7.6
