Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,User_Score,,Year_of_Release,User_Score,Global_Sales,Name,Platform,User_Score
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,7.16,6.5,,2015,6.5,7.16,Fallout 4,PS4,6.5
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,7.16,9.1,,1998,9.1,7.16,Tekken 3,PS,9.1
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,7.15,9,,2006,9,7.15,The Legend of Zelda: Twilight Princess,Wii,9
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,7.13,8.9,,1998,8.9,7.13,Crash Bandicoot 3: Warped,PS,8.9
Mario Kart 8,WiiU,2014,Racing,Nintendo,7.09,9.1,,2014,9.1,7.09,Mario Kart 8,WiiU,9.1
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,7.07,9.1,,2001,9.1,7.07,Super Smash Bros. Melee,GC,9.1
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,6.9,8.6,,2004,8.6,6.9,Need for Speed Underground 2,PS2,8.6
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,6.83,8.5,,2002,8.5,6.83,Medal of Honor: Frontline,PS2,8.5
Just Dance 4,Wii,2012,Misc,Ubisoft,6.76,7.3,,2012,7.3,6.76,Just Dance 4,Wii,7.3
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,6.75,7.7,,2008,7.7,6.75,Gears of War 2,X360,7.7
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,6.74,8.3,,2011,8.3,6.74,Uncharted 3: Drake's Deception,PS3,8.3
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,6.68,8.4,,2007,8.4,6.68,Call of Duty 4: Modern Warfare,PS3,8.4
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,6.66,8.8,,2009,8.8,6.66,Uncharted 2: Among Thieves,PS3,8.8
Big Brain Academy,DS,2005,Misc,Nintendo,6.62,7.4,,2005,7.4,6.62,Big Brain Academy,DS,7.4
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,6.49,8.8,,2010,8.8,6.49,Red Dead Redemption,PS3,8.8
FIFA 14,PS3,2013,Sports,Electronic Arts,6.47,4.3,,2013,4.3,6.47,FIFA 14,PS3,4.3
Assassin's Creed III,PS3,2012,Action,Ubisoft,6.45,6.9,,2012,6.9,6.45,Assassin's Creed III,PS3,6.9
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,6.44,8.6,,2010,8.6,6.44,Donkey Kong Country Returns,Wii,8.6
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,6.43,8.6,,2001,8.6,6.43,Halo: Combat Evolved,XB,8.6
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,6.41,6.4,,2011,6.4,6.41,The Elder Scrolls V: Skyrim,PS3,6.4
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,6.41,9,,2004,9,6.41,Pokémon Emerald Version,GBA,9
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,6.4,8.8,,2002,8.8,6.4,Kingdom Hearts,PS2,8.8
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,6.34,7.1,,2009,7.1,6.34,Halo 3: ODST,X360,7.1
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,6.32,9,,2010,9,6.32,Red Dead Redemption,X360,9
Super Mario Sunshine,GC,2002,Platform,Nintendo,6.31,8.6,,2002,8.6,6.31,Super Mario Sunshine,GC,8.6
World of Warcraft,PC,2004,Role-Playing,Activision,6.29,7.3,,2004,7.3,6.29,World of Warcraft,PC,7.3
Driver,PS,1999,Action,GT Interactive,6.27,8.1,,1999,8.1,6.27,Driver,PS,8.1
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,6.21,7.8,,2011,7.8,6.21,Gears of War 3,X360,7.8
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,6.19,7.4,,2010,7.4,6.19,Kinect Sports,X360,7.4
Gears of War,X360,2006,Shooter,Microsoft Game Studios,6.09,8.3,,2006,8.3,6.09,Gears of War,X360,8.3
FIFA 15,PS4,2014,Sports,Electronic Arts,6.08,5.7,,2014,5.7,6.08,FIFA 15,PS4,5.7
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,6.05,8.7,,2001,8.7,6.05,Metal Gear Solid 2: Sons of Liberty,PS2,8.7
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,6.03,9.4,,1998,9.4,6.03,Metal Gear Solid,PS,9.4
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,5.99,8.7,,2008,8.7,5.99,Metal Gear Solid 4: Guns of the Patriots,PS3,8.7
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,5.95,7.6,,2006,7.6,5.95,Final Fantasy XII,PS2,7.6
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,5.87,9.1,,2013,9.1,5.87,The Last of Us,PS3,9.1
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,5.82,6.8,,2008,6.8,5.82,LittleBigPlanet,PS3,6.8
Resident Evil 2,PS,1998,Action,Virgin Interactive,5.82,9.2,,1998,9.2,5.82,Resident Evil 2,PS,9.2
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,5.78,8.8,,2009,8.8,5.78,Dragon Quest IX: Sentinels of the Starry Skies,DS,8.8
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,5.74,8.9,,1996,8.9,5.74,Tekken 2,PS,8.9
Destiny,PS4,2014,Shooter,Activision,5.64,6.1,,2014,6.1,5.64,Destiny,PS4,6.1
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,5.64,8.9,,2007,8.9,5.64,LEGO Star Wars: The Complete Saga,Wii,8.9
Cooking Mama,DS,2006,Simulation,505 Games,5.63,7.2,,2006,7.2,5.63,Cooking Mama,DS,7.2
Assassin's Creed II,PS3,2009,Action,Ubisoft,5.55,8.6,,2009,8.6,5.55,Assassin's Creed II,PS3,8.6
Assassin's Creed,X360,2007,Adventure,Ubisoft,5.54,7.7,,2007,7.7,5.54,Assassin's Creed,X360,7.7
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,5.49,8,,2009,8,5.49,Forza Motorsport 3,X360,8
Super Mario Advance,GBA,2001,Platform,Nintendo,5.49,7.8,,2001,7.8,5.49,Super Mario Advance,GBA,7.8
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,5.48,8.7,,2008,8.7,5.48,Monster Hunter Freedom Unite,PSP,8.7
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,5.48,8.6,,2011,8.6,5.48,Batman: Arkham City,PS3,8.6
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,5.48,7.9,,2014,7.9,5.48,Grand Theft Auto V,XOne,7.9
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,5.47,8.3,,2001,8.3,5.47,Mario Kart: Super Circuit,GBA,8.3
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,5.42,7.1,,2001,7.1,5.42,Crash Bandicoot: The Wrath of Cortex,PS2,7.1
Call of Duty: World at War,PS3,2008,Shooter,Activision,5.39,7.6,,2008,7.6,5.39,Call of Duty: World at War,PS3,7.6
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,5.38,7.9,,2016,7.9,5.38,Uncharted 4: A Thief's End,PS4,7.9
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,5.33,7.3,,2009,7.3,5.33,Final Fantasy XIII,PS3,7.3
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,5.3,8.9,,2000,8.9,5.3,Final Fantasy IX,PS,8.9
Assassin's Creed III,X360,2012,Action,Ubisoft,5.29,6.7,,2012,6.7,5.29,Assassin's Creed III,X360,6.7
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,5.29,6.6,,2003,6.6,5.29,Final Fantasy X-2,PS2,6.6
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,5.27,5.4,,2014,5.4,5.27,Call of Duty: Advanced Warfare,XOne,5.4
Assassin's Creed II,X360,2009,Action,Ubisoft,5.26,8.8,,2009,8.8,5.26,Assassin's Creed II,X360,8.8
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,5.22,8.1,,2012,8.1,5.22,New Super Mario Bros. U,WiiU,8.1
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,5.21,8.8,,2004,8.8,5.21,Dragon Quest VIII: Journey of the Cursed King,PS2,8.8
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,5.19,8.6,,2007,8.6,5.19,Professor Layton and the Curious Village,DS,8.6
FIFA Soccer 13,X360,2012,Action,Electronic Arts,5.16,6.1,,2012,6.1,5.16,FIFA Soccer 13,X360,6.1
Diablo III,PC,2012,Role-Playing,Activision,5.14,4,,2012,4,5.14,Diablo III,PC,4
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,5.13,7.6,,2003,7.6,5.13,Medal of Honor: Rising Sun,PS2,7.6
Guitar Hero II,PS2,2006,Misc,RedOctane,5.12,8.5,,2006,8.5,5.12,Guitar Hero II,PS2,8.5
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,5.1,6.5,,2010,6.5,5.1,Fable III,X360,6.5
Resident Evil 5,PS3,2009,Action,Capcom,5.09,7.5,,2009,7.5,5.09,Resident Evil 5,PS3,7.5
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,5.08,8,,2007,8,5.08,The Legend of Zelda: Phantom Hourglass,DS,8
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,5.07,8,,2010,8,5.07,FIFA Soccer 11,PS3,8
Resident Evil,PS,1996,Action,Virgin Interactive,5.05,9,,1996,9,5.05,Resident Evil,PS,9
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,5.03,8,,2006,8,5.03,Grand Theft Auto: Vice City Stories,PSP,8
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,5.02,9.2,,1999,9.2,5.02,Tony Hawk's Pro Skater,PS,9.2
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,4.98,8.2,,2007,8.2,4.98,Guitar Hero III: Legends of Rock,PS2,8.2
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,4.98,7.1,,2007,7.1,4.98,Link's Crossbow Training,Wii,7.1
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,4.93,8.5,,2008,8.5,4.93,Fallout 3,X360,8.5
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,4.92,8.1,,2007,8.1,4.92,Uncharted: Drake's Fortune,PS3,8.1
Madden NFL 06,PS2,2005,Sports,Electronic Arts,4.91,8,,2005,8,4.91,Madden NFL 06,PS2,8
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,4.84,8.2,,2010,8.2,4.84,StarCraft II: Wings of Liberty,PC,8.2
Assassin's Creed,PS3,2007,Adventure,Ubisoft,4.82,7.3,,2007,7.3,4.82,Assassin's Creed,PS3,7.3
God of War III,PS3,2010,Action,Sony Computer Entertainment,4.8,8.7,,2010,8.7,4.8,God of War III,PS3,8.7
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,4.79,9,,1999,9,4.79,Crash Team Racing,PS,9
